//pho durint indis
   P   208     0
   T   215     0
   K   220     0
   B   185     1
   D   180     1
   G   180     1
   Z   166     3
   J   173     3
   V   158     3
   S   200     2
   CH  205     2
   F   210     2
   M   170     4
   N   170     4
   L   140     5
   R   138     6
   H   150     7
   Y   150     7
   W   144     7
   A   170     3
   O   170     2
   AU  175     1
   AI  174     2
   EI  180     2
   EU  170     2
   OE  180     2
   AN  190     4
   ON  190     4
   IN  200     4
   UN  200     4
   I   170     1
   U   173     0
   OU  173     0
   OI  200     4
   UI  190     4
   E   100     2
   %   200     0    
   #   100     0    
   ^     0     0    
